




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Appling                       10613                         6824                          64.30%
Atkinson                      4252                          2525                          59.38%
Bacon                         6010                          3835                          63.81%
Baker                         2232                          1297                          58.11%
Baldwin                       23399                         15683                         67.02%
Banks                         10807                         6866                          63.53%
Barrow                        47514                         27450                         57.77%
Bartow                        64074                         37388                         58.35%
Ben Hill                      9258                          5551                          59.96%
Berrien                       10247                         6260                          61.09%
Bibb                          99934                         60009                         60.05%
Bleckley                      6944                          4867                          70.09%
Brantley                      9984                          5706                          57.15%
Brooks                        9911                          5722                          57.73%
Bryan                         25712                         14996                         58.32%
Bulloch                       39983                         23602                         59.03%
Burke                         14449                         8756                          60.60%
Butts                         15280                         8892                          58.19%
Calhoun                       2982                          1912                          64.12%
Camden                        31632                         17111                         54.09%
Candler                       5572                          3547                          63.66%
Carroll                       72908                         41850                         57.40%
Catoosa                       40513                         23800                         58.75%
Charlton                      6072                          3391                          55.85%
Chatham                       188315                        103568                        55.00%
Chattahoochee                 3132                          1104                          35.25%
Chattooga                     11099                         7457                          67.19%
Cherokee                      165612                        106456                        64.28%
Clarke                        70597                         43423                         61.51%
Clay                          1856                          1187                          63.95%
Clayton                       169574                        90194                         53.19%
Clinch                        3884                          2258                          58.14%
Cobb                          486696                        310966                        63.89%
Coffee                        21900                         11639                         53.15%
Colquitt                      21948                         12991                         59.19%
Columbia                      95779                         61718                         64.44%
Cook                          9423                          5816                          61.72%
Coweta                        91585                         58176                         63.52%
Crawford                      7459                          4947                          66.32%
Crisp                         11674                         7054                          60.42%
Dade                          10496                         5466                          52.08%
Dawson                        18278                         11595                         63.44%
Decatur                       15201                         9068                          59.65%
DeKalb                        494731                        311306                        62.92%
Dodge                         11055                         7069                          63.94%
Dooly                         5669                          3809                          67.19%
Dougherty                     57817                         31351                         54.22%
Douglas                       89305                         55297                         61.92%
Early                         6992                          4155                          59.43%
Echols                        1929                          1146                          59.41%
Effingham                     38132                         23419                         61.42%
Elbert                        11123                         7348                          66.06%
Emanuel                       12343                         7745                          62.75%
Evans                         5569                          3461                          62.15%
Fannin                        17200                         11233                         65.31%
Fayette                       83763                         58065                         69.32%
Floyd                         52469                         30324                         57.79%
Forsyth                       143680                        93455                         65.04%
Franklin                      13069                         8171                          62.52%
Fulton                        703177                        421929                        60.00%
Gilmer                        19069                         12515                         65.63%
Glascock                      1837                          1303                          70.93%
Glynn                         54274                         32610                         60.08%
Gordon                        30086                         17824                         59.24%
Grady                         13546                         8384                          61.89%
Greene                        12081                         9017                          74.64%
Gwinnett                      525568                        313049                        59.56%
Habersham                     24707                         15530                         62.86%
Hall                          114817                        67458                         58.75%
Hancock                       5601                          3531                          63.04%
Haralson                      17923                         10612                         59.21%
Harris                        22877                         16003                         69.95%
Hart                          14706                         9660                          65.69%
Heard                         6678                          4061                          60.81%
Henry                         154376                        98486                         63.80%
Houston                       93924                         59284                         63.12%
Irwin                         5277                          3561                          67.48%
Jackson                       42272                         26933                         63.71%
Jasper                        9030                          5911                          65.46%
Jeff Davis                    7556                          4830                          63.92%
Jefferson                     10349                         6772                          65.44%
Jenkins                       4677                          2889                          61.77%
Johnson                       5060                          3489                          68.95%
Jones                         18194                         12455                         68.46%
Lamar                         11288                         7362                          65.22%
Lanier                        5034                          2683                          53.30%
Laurens                       28805                         18968                         65.85%
Lee                           21012                         13563                         64.55%
Liberty                       31051                         15390                         49.56%
Lincoln                       5748                          3981                          69.26%
Long                          7606                          3997                          52.55%
Lowndes                       67459                         35090                         52.02%
Lumpkin                       19567                         11574                         59.15%
Macon                         6569                          4244                          64.61%
Madison                       18018                         11722                         65.06%
Marion                        4468                          2933                          65.64%
McDuffie                      13587                         8817                          64.89%
McIntosh                      8962                          5425                          60.53%
Meriwether                    13710                         8667                          63.22%
Miller                        3814                          2319                          60.80%
Mitchell                      13324                         7461                          56.00%
Monroe                        18724                         12977                         69.31%
Montgomery                    5145                          3533                          68.67%
Morgan                        13100                         9574                          73.08%
Murray                        19170                         11114                         57.98%
Muscogee                      112540                        63189                         56.15%
Newton                        69805                         43199                         61.89%
