County 	Number
Appling 	13
Atkinson 	2
Bacon 	10
Baker 	13
Baldwin 	16
Banks 	4
Barrow 	9
Bartow 	86
BenHill 	50
Berrien 	10
Bibb 	419
Bleckley 	4
Brantley 	25
Brooks 	69
Bryan 	24
Bulloch 	224
Burke 	6
Butts 	0
Calhoun 	0
Camden 	11
Candler 	3
Carroll 	291
Catoosa 	40
Charlton 	13
Chatham 	329
Chattahoochee 	38
Chattooga 	34
Cherokee 	146
Clarke 	198
Clay 	2
Clayton 	888
Clinch 	5
Cobb 	2202
Coffee 	10
Colquitt 	19
Columbia 	89
Cook 	0
Coweta 	38
Crawford 	3
Crisp 	35
Dade 	13
Dawson 	11
Decatur 	188
DeKalb 	3008
Dodge 	8
Dooly 	6
Dougherty 	355
Douglas 	145
Early 	4
Echols 	0
Effingham 	8
Elbert 	79
Emanuel 	15
Evans 	2
Fannin 	24
Fayette 	81
Floyd 	200
Forsyth 	108
Franklin 	3
Fulton 	3670
Gilmer 	39
Glascock 	2
Glynn 	183
Gordon 	127
Grady 	20
Greene 	15
Gwinnett 	2427
Habersham 	9
Hall 	370
Hancock 	14
Haralson 	4
Harris 	47
Hart 	14
Heard 	8
Henry 	339
Houston 	155
Irwin 	22
Jackson 	59
Jasper 	62
JeffDavis 	0
Jefferson 	45
Jenkins 	26
Johnson 	0
Jones 	16
Lamar 	64
Lanier 	5
Laurens 	41
Lee 	19
Liberty 	10
Lincoln 	4
Long 	10
Lowndes 	1174
Lumpkin 	47
Macon 	0
Madison 	4
Marion 	0
McDuffie 	3
McIntosh 	3
Meriwether 	26
Miller 	23
Mitchell 	18
Monroe 	10
Montgomery 	0
Morgan 	14
Murray 	0
Muscogee 	352
Newton 	16
Oconee 	20
Oglethorpe 	2
Paulding 	105
Peach 	90
Pickens 	1
Pierce 	1
Pike 	13
Polk 	4
Pulaski 	0
Putnam 	18
Quitman 	1
Rabun 	0
Randolph 	2
Richmond 	272
Rockdale 	140
Schley 	4
Screven 	16
Seminole 	36
Spalding 	47
Stephens 	39
Stewart 	40
Sumter 	0
Talbot 	4
Taliaferro 	6
Tattnall 	158
Taylor 	30
Telfair 	2
Terrell 	1
Thomas 	7
Tift 	14
Toombs 	13
Towns 	9
Treutlen 	4
Troup 	685
Turner 	11
Twiggs 	6
Union 	2
Upson 	20
Walker 	71
Walton 	106
Ware 	14
Warren 	6
Washington 	16
Wayne 	15
Webster 	8
Wheeler 	5
White 	40
Whitfield 	70
Wilcox 	0
Wilkes 	11
Wilkinson 	1
Worth 	20
Totals: 	21358
